Ref,event,url,text,type,filetype,src,created,files
1282,GW240505_133552,https://gwosc.org/eventapi/json/GWTC-5.0/GW240505_133552/v1,JSON file,json-url,,,,
1283,GW240505_133552,https://gwosc.org/eventapi/html/GWTC-5.0/GW240505_133552/v1,GWTC link,open-data,,,,
1284,GW240505_133552,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240505_133552-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
1285,GW240505_133552,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-19T21:39:17.000,
1286,GW240501_033534,https://gwosc.org/eventapi/json/GWTC-5.0/GW240501_033534/v1,JSON file,json-url,,,,
1287,GW240501_033534,https://gwosc.org/eventapi/html/GWTC-5.0/GW240501_033534/v1,GWTC link,open-data,,,,
1288,GW240501_033534,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240501_033534-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
1289,GW240501_033534,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-19T21:39:18.000,
1290,GW240430_093517,https://gwosc.org/eventapi/json/GWTC-5.0/GW240430_093517/v1,JSON file,json-url,,,,
1291,GW240430_093517,https://gwosc.org/eventapi/html/GWTC-5.0/GW240430_093517/v1,GWTC link,open-data,,,,
1292,GW240430_093517,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
1293,GW240428_225440,https://gwosc.org/eventapi/json/GWTC-5.0/GW240428_225440/v1,JSON file,json-url,,,,
1294,GW240428_225440,https://gwosc.org/eventapi/html/GWTC-5.0/GW240428_225440/v1,GWTC link,open-data,,,,
1295,GW240428_225440,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240428_225440-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
1296,GW240428_225440,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-19T21:39:19.000,
1297,GW240426_085802,https://gwosc.org/eventapi/json/GWTC-5.0/GW240426_085802/v1,JSON file,json-url,,,,
1298,GW240426_085802,https://gwosc.org/eventapi/html/GWTC-5.0/GW240426_085802/v1,GWTC link,open-data,,,,
1299,GW240426_085802,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
1300,GW240426_031451,https://gwosc.org/eventapi/json/GWTC-5.0/GW240426_031451/v1,JSON file,json-url,,,,
1301,GW240426_031451,https://gwosc.org/eventapi/html/GWTC-5.0/GW240426_031451/v1,GWTC link,open-data,,,,
1302,GW240426_031451,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240426_031451-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
1303,GW240426_031451,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-19T21:39:19.000,
1304,GW240421_052935,https://gwosc.org/eventapi/json/GWTC-5.0/GW240421_052935/v1,JSON file,json-url,,,,
1305,GW240421_052935,https://gwosc.org/eventapi/html/GWTC-5.0/GW240421_052935/v1,GWTC link,open-data,,,,
1306,GW240421_052935,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
1307,GW240420_175625,https://gwosc.org/eventapi/json/GWTC-5.0/GW240420_175625/v1,JSON file,json-url,,,,
1308,GW240420_175625,https://gwosc.org/eventapi/html/GWTC-5.0/GW240420_175625/v1,GWTC link,open-data,,,,
1309,GW240420_175625,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240420_175625-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
1310,GW240420_175625,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-19T21:39:18.000,
1311,GW240419_041206,https://gwosc.org/eventapi/json/GWTC-5.0/GW240419_041206/v1,JSON file,json-url,,,,
1312,GW240419_041206,https://gwosc.org/eventapi/html/GWTC-5.0/GW240419_041206/v1,GWTC link,open-data,,,,
1313,GW240419_041206,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
1314,GW240414_054515,https://gwosc.org/eventapi/json/GWTC-5.0/GW240414_054515/v1,JSON file,json-url,,,,
1315,GW240414_054515,https://gwosc.org/eventapi/html/GWTC-5.0/GW240414_054515/v1,GWTC link,open-data,,,,
1316,GW240414_054515,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240414_054515-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
1317,GW240414_054515,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-19T21:39:17.000,
1318,GW240413_022019,https://gwosc.org/eventapi/json/GWTC-5.0/GW240413_022019/v1,JSON file,json-url,,,,
1319,GW240413_022019,https://gwosc.org/eventapi/html/GWTC-5.0/GW240413_022019/v1,GWTC link,open-data,,,,
1320,GW240413_022019,https://zenodo.org/api/records/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-GW240413_022019-combined_PEDataRelease.hdf5/content,Data file,data-file,h5,zenodo,,
1321,GW240413_022019,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,2026-05-19T21:39:19.000,
1322,GW240411_074140,https://gwosc.org/eventapi/json/GWTC-5.0/GW240411_074140/v1,JSON file,json-url,,,,
1323,GW240411_074140,https://gwosc.org/eventapi/html/GWTC-5.0/GW240411_074140/v1,GWTC link,open-data,,,,
1324,GW240411_074140,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
1325,GW240408_081753,https://gwosc.org/eventapi/json/GWTC-5.0/GW240408_081753/v1,JSON file,json-url,,,,
1326,GW240408_081753,https://gwosc.org/eventapi/html/GWTC-5.0/GW240408_081753/v1,GWTC link,open-data,,,,
1327,GW240408_081753,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
1328,GW240407_214946,https://gwosc.org/eventapi/json/GWTC-5.0/GW240407_214946/v1,JSON file,json-url,,,,
1329,GW240407_214946,https://gwosc.org/eventapi/html/GWTC-5.0/GW240407_214946/v1,GWTC link,open-data,,,,
1330,GW240407_214946,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
1331,GW240407_061416,https://gwosc.org/eventapi/json/GWTC-5.0/GW240407_061416/v1,JSON file,json-url,,,,
1332,GW240407_061416,https://gwosc.org/eventapi/html/GWTC-5.0/GW240407_061416/v1,GWTC link,open-data,,,,
1333,GW240407_061416,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
1334,GW240407_040938,https://gwosc.org/eventapi/json/GWTC-5.0/GW240407_040938/v1,JSON file,json-url,,,,
1335,GW240407_040938,https://gwosc.org/eventapi/html/GWTC-5.0/GW240407_040938/v1,GWTC link,open-data,,,,
1336,GW240407_040938,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
1337,GW240406_062847,https://gwosc.org/eventapi/json/GWTC-5.0/GW240406_062847/v1,JSON file,json-url,,,,
1338,GW240406_062847,https://gwosc.org/eventapi/html/GWTC-5.0/GW240406_062847/v1,GWTC link,open-data,,,,
1339,GW240406_062847,https://zenodo.org/record/20348005/files/IGWN-GWTC5p0-29ebe06b7_25-Archived_Skymaps.tar.gz,Sky Map,skymap-fits,tar,,,
1340,GW190930_133541,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190930_133541/v2,JSON file,json-url,,,,
1341,GW190930_133541,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190930_133541/v2,GWTC link,open-data,,,,
1342,GW190930_133541,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1343,GW190930_133541,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T12:09:50.000,
1344,GW190930_133541,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.393,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1345,GW190930_133541,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.394,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1346,GW190930_133541,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.399,"['gal_8192', 'eq_8192', 'eq_4096']"
1347,GW190929_012149,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190929_012149/v2,JSON file,json-url,,,,
1348,GW190929_012149,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190929_012149/v2,GWTC link,open-data,,,,
1349,GW190929_012149,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1350,GW190929_012149,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T12:09:12.000,
1351,GW190929_012149,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.412,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1352,GW190929_012149,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.413,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1353,GW190929_012149,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.417,"['gal_8192', 'eq_8192', 'eq_4096']"
1354,GW190926_050336,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190926_050336/v1,JSON file,json-url,,,,
1355,GW190926_050336,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190926_050336/v1,GWTC link,open-data,,,,
1356,GW190926_050336,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1357,GW190926_050336,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T11:54:44.000,
1358,GW190926_050336,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.430,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1359,GW190926_050336,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.430,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1360,GW190926_050336,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.435,"['gal_8192', 'eq_8192', 'eq_4096']"
1361,GW190925_232845,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190925_232845/v1,JSON file,json-url,,,,
1362,GW190925_232845,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190925_232845/v1,GWTC link,open-data,,,,
1363,GW190925_232845,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1364,GW190925_232845,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T11:54:18.000,
1365,GW190925_232845,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.448,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1366,GW190925_232845,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.449,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1367,GW190925_232845,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.454,"['gal_8192', 'eq_8192', 'eq_4096']"
1368,GW190924_021846,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190924_021846/v2,JSON file,json-url,,,,
1369,GW190924_021846,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190924_021846/v2,GWTC link,open-data,,,,
1370,GW190924_021846,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1371,GW190924_021846,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T12:08:49.000,
1372,GW190924_021846,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.466,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1373,GW190924_021846,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.466,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1374,GW190924_021846,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.471,"['gal_8192', 'eq_8192', 'eq_4096']"
1375,GW190917_114630,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190917_114630/v1,JSON file,json-url,,,,
1376,GW190917_114630,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190917_114630/v1,GWTC link,open-data,,,,
1377,GW190917_114630,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1378,GW190917_114630,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T11:54:04.000,
1379,GW190917_114630,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.484,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1380,GW190917_114630,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.484,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1381,GW190917_114630,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.489,"['gal_8192', 'eq_8192', 'eq_4096']"
1382,GW190916_200658,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190916_200658/v1,JSON file,json-url,,,,
1383,GW190916_200658,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190916_200658/v1,GWTC link,open-data,,,,
1384,GW190916_200658,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1385,GW190916_200658,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T11:53:44.000,
1386,GW190916_200658,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.504,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1387,GW190916_200658,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.505,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1388,GW190916_200658,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.510,"['gal_8192', 'eq_8192', 'eq_4096']"
1389,GW190915_235702,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190915_235702/v2,JSON file,json-url,,,,
1390,GW190915_235702,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190915_235702/v2,GWTC link,open-data,,,,
1391,GW190915_235702,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1392,GW190915_235702,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T12:08:19.000,
1393,GW190915_235702,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.530,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1394,GW190915_235702,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.531,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1395,GW190915_235702,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.537,"['gal_8192', 'eq_8192', 'eq_4096']"
1396,GW190910_112807,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190910_112807/v2,JSON file,json-url,,,,
1397,GW190910_112807,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190910_112807/v2,GWTC link,open-data,,,,
1398,GW190910_112807,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1399,GW190910_112807,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T12:07:54.000,
1400,GW190910_112807,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.552,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1401,GW190910_112807,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.552,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1402,GW190910_112807,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.556,"['gal_8192', 'eq_8192', 'eq_4096']"
1403,GW190828_065509,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_065509/v2,JSON file,json-url,,,,
1404,GW190828_065509,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190828_065509/v2,GWTC link,open-data,,,,
1405,GW190828_065509,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1406,GW190828_065509,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T11:53:04.000,
1407,GW190828_065509,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.568,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1408,GW190828_065509,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.569,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1409,GW190828_065509,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.573,"['gal_8192', 'eq_8192', 'eq_4096']"
1410,GW190828_063405,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190828_063405/v2,JSON file,json-url,,,,
1411,GW190828_063405,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190828_063405/v2,GWTC link,open-data,,,,
1412,GW190828_063405,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1413,GW190828_063405,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T12:07:20.000,
1414,GW190828_063405,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.584,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1415,GW190828_063405,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.584,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1416,GW190828_063405,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.589,"['gal_8192', 'eq_8192', 'eq_4096']"
1417,GW190814,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190814/v3,JSON file,json-url,,,,
1418,GW190814,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190814/v3,GWTC link,open-data,,,,
1419,GW190814,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1420,GW190814,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T12:06:39.000,
1421,GW190814,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.601,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1422,GW190814,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.602,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1423,GW190814,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.606,"['gal_8192', 'eq_8192', 'eq_4096']"
1424,GW190805_211137,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190805_211137/v1,JSON file,json-url,,,,
1425,GW190805_211137,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190805_211137/v1,GWTC link,open-data,,,,
1426,GW190805_211137,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1427,GW190805_211137,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T11:52:37.000,
1428,GW190805_211137,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.618,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1429,GW190805_211137,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.619,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1430,GW190805_211137,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.623,"['gal_8192', 'eq_8192', 'eq_4096']"
1431,GW190803_022701,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190803_022701/v2,JSON file,json-url,,,,
1432,GW190803_022701,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190803_022701/v2,GWTC link,open-data,,,,
1433,GW190803_022701,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1434,GW190803_022701,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T12:06:07.000,
1435,GW190803_022701,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.634,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1436,GW190803_022701,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.634,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1437,GW190803_022701,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.638,"['gal_8192', 'eq_8192', 'eq_4096']"
1438,GW190731_140936,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190731_140936/v2,JSON file,json-url,,,,
1439,GW190731_140936,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190731_140936/v2,GWTC link,open-data,,,,
1440,GW190731_140936,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
1441,GW190731_140936,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-PESkyMaps.tar.gz,Sky Map,skymap-fits,tar,,2022-04-26T12:05:49.000,
1442,GW190731_140936,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T09:25:40.650,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1443,GW190731_140936,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T09:25:40.650,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
1444,GW190731_140936,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T09:25:40.654,"['gal_8192', 'eq_8192', 'eq_4096']"
1445,GW190728_064510,https://gwosc.org/eventapi/json/GWTC-2.1-confident/GW190728_064510/v2,JSON file,json-url,,,,
1446,GW190728_064510,https://gwosc.org/eventapi/html/GWTC-2.1-confident/GW190728_064510/v2,GWTC link,open-data,,,,
1447,GW190728_064510,https://zenodo.org/api/records/6513631/files/IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
