Ref,event,url,text,type,filetype,src,created,files
66,GW200220_061928,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:29.000,
67,GW200220_061928,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.588,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
68,GW200220_061928,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.588,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
69,GW200220_061928,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.592,"['gal_8192', 'eq_8192', 'eq_4096']"
70,GW200219_094415,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200219_094415/v1,JSON file,json-url,,,,
71,GW200219_094415,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200219_094415/v1,GWTC link,open-data,,,,
72,GW200219_094415,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
73,GW200219_094415,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:28.000,
74,GW200219_094415,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.603,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
75,GW200219_094415,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.603,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
76,GW200219_094415,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.607,"['gal_8192', 'eq_8192', 'eq_4096']"
77,GW200216_220804,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200216_220804/v1,JSON file,json-url,,,,
78,GW200216_220804,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200216_220804/v1,GWTC link,open-data,,,,
79,GW200216_220804,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200216_220804_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
80,GW200216_220804,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:23.000,
81,GW200216_220804,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.617,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
82,GW200216_220804,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.618,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
83,GW200216_220804,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.622,"['gal_8192', 'eq_8192', 'eq_4096']"
84,GW200210_092254,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200210_092254/v1,JSON file,json-url,,,,
85,GW200210_092254,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200210_092254/v1,GWTC link,open-data,,,,
86,GW200210_092254,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200210_092254_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
87,GW200210_092254,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:20.000,
88,GW200210_092254,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.633,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
89,GW200210_092254,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.633,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
90,GW200210_092254,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.638,"['gal_8192', 'eq_8192', 'eq_4096']"
91,GW200209_085452,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200209_085452/v1,JSON file,json-url,,,,
92,GW200209_085452,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200209_085452/v1,GWTC link,open-data,,,,
93,GW200209_085452,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200209_085452_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
94,GW200209_085452,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:19.000,
95,GW200209_085452,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.649,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
96,GW200209_085452,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.650,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
97,GW200209_085452,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.654,"['gal_8192', 'eq_8192', 'eq_4096']"
98,GW200208_222617,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200208_222617/v1,JSON file,json-url,,,,
99,GW200208_222617,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200208_222617/v1,GWTC link,open-data,,,,
100,GW200208_222617,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200208_222617_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
101,GW200208_222617,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:16.000,
102,GW200208_222617,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.665,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
103,GW200208_222617,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.666,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
104,GW200208_222617,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.670,"['gal_8192', 'eq_8192', 'eq_4096']"
105,GW200208_130117,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200208_130117/v1,JSON file,json-url,,,,
106,GW200208_130117,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200208_130117/v1,GWTC link,open-data,,,,
107,GW200208_130117,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200208_130117_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
108,GW200208_130117,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:10.000,
109,GW200208_130117,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.681,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
110,GW200208_130117,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.681,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
111,GW200208_130117,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.686,"['gal_8192', 'eq_8192', 'eq_4096']"
112,GW200202_154313,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200202_154313/v1,JSON file,json-url,,,,
113,GW200202_154313,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200202_154313/v1,GWTC link,open-data,,,,
114,GW200202_154313,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200202_154313_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
115,GW200202_154313,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:09.000,
116,GW200202_154313,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.697,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
117,GW200202_154313,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.697,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
118,GW200202_154313,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.702,"['gal_8192', 'eq_8192', 'eq_4096']"
119,GW200129_065458,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200129_065458/v1,JSON file,json-url,,,,
