Ref,citation,created,event,text,type,url
546,,,S190901ap,GraceDB data,open-data,https://gracedb.ligo.org/api/superevents/S190901ap/
547,,,S190901ap,Sky Map,skymap-fits,https://gracedb.ligo.org/api/superevents/S190901ap/files/LALInference.v2.fits.gz
548,,2019-09-06T20:24:18.260,S190901ap,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190901ap_moll.png
549,,2019-09-06T20:24:18.261,S190901ap,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190901ap_moll.thumb.png
550,,2019-09-06T20:24:23.053,S190901ap,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190901ap_cartzoom.png
551,,2019-09-06T20:24:23.053,S190901ap,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190901ap_cartzoom.thumb.png
552,,2019-09-06T20:24:30.337,S190901ap,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190901ap_cart.png
553,,2019-09-06T20:24:30.337,S190901ap,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190901ap_cart.thumb.png
554,,2019-09-06T20:24:38.097,S190901ap,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190901ap_moll_rot.png
555,,2019-09-06T20:24:38.098,S190901ap,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190901ap_moll_rot.thumb.png
556,,2019-09-06T20:24:44.581,S190901ap,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190901ap_cart_rot.png
557,,2019-09-06T20:24:44.582,S190901ap,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190901ap_cart_rot.thumb.png
558,,2019-09-06T20:25:04.480,S190901ap,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190901ap_8192.png
559,,2019-09-06T20:31:43.875,S190901ap,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190901ap-tiles
560,,,S190910h,GraceDB data,open-data,https://gracedb.ligo.org/api/superevents/S190910h/
561,,,S190910h,Sky Map,skymap-fits,"https://gracedb.ligo.org/api/superevents/S190910h/files/LALInference.fits.gz,0"
562,,2019-09-21T20:26:45.799,S190910h,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190910h_moll.png
563,,2019-09-21T20:26:45.799,S190910h,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190910h_moll.thumb.png
564,,2019-09-21T20:26:50.078,S190910h,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190910h_cartzoom.png
565,,2019-09-21T20:26:50.079,S190910h,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190910h_cartzoom.thumb.png
